country,continent,population,day,time,Cases,Recovered,Deaths,Tests
Saint-Helena,Africa,6115.0,2024-06-30,2024-06-30T16:15:16+00:00,2166,2.0,,
Falkland-Islands,South-America,3539.0,2024-06-30,2024-06-30T16:15:16+00:00,1930,1930.0,,8632.0
Montserrat,North-America,4965.0,2024-06-30,2024-06-30T16:15:16+00:00,1403,1376.0,8.0,17762.0
Diamond-Princess,,,2024-06-30,2024-06-30T16:15:16+00:00,712,699.0,13.0,
Vatican-City,Europe,799.0,2024-06-30,2024-06-30T16:15:16+00:00,29,29.0,,
Western-Sahara,Africa,626161.0,2024-06-30,2024-06-30T16:15:16+00:00,10,9.0,1.0,
MS-Zaandam,,,2024-06-30,2024-06-30T16:15:16+00:00,9,7.0,2.0,
China,Asia,1448471400.0,2024-06-30,2024-06-30T16:15:16+00:00,503302,379053.0,5272.0,160000000.0
Tokelau,Oceania,1378.0,2024-06-30,2024-06-30T16:15:16+00:00,80,,,
Saint-Pierre-Miquelon,North-America,5759.0,2024-06-30,2024-06-30T16:15:16+00:00,3452,2449.0,2.0,25400.0
Tuvalu,Oceania,12066.0,2024-06-30,2024-06-30T16:15:16+00:00,2943,,1.0,
Niue,Oceania,1622.0,2024-06-30,2024-06-30T16:15:16+00:00,1059,1056.0,,
Nicaragua,North-America,6779100.0,2024-06-30,2024-06-30T16:15:15+00:00,18491,4225.0,225.0,
Tajikistan,Asia,9957464.0,2024-06-30,2024-06-30T16:15:15+00:00,17786,17264.0,125.0,
Djibouti,Africa,1016097.0,2024-06-30,2024-06-30T16:15:15+00:00,15690,15427.0,189.0,305941.0
Greenland,North-America,56973.0,2024-06-30,2024-06-30T16:15:15+00:00,11971,2761.0,21.0,164926.0
Eritrea,Africa,3662244.0,2024-06-30,2024-06-30T16:15:15+00:00,10189,10086.0,103.0,23693.0
Niger,Africa,26083660.0,2024-06-30,2024-06-30T16:15:15+00:00,9931,8890.0,312.0,254538.0
Equatorial-Guinea,Africa,1496662.0,2024-06-30,2024-06-30T16:15:15+00:00,17229,16907.0,183.0,365697.0
Liberia,Africa,5305117.0,2024-06-30,2024-06-30T16:15:15+00:00,8090,7783.0,295.0,139824.0
Nauru,Oceania,10903.0,2024-06-30,2024-06-30T16:15:15+00:00,5393,5347.0,1.0,20509.0
Caribbean-Netherlands,North-America,26647.0,2024-06-30,2024-06-30T16:15:15+00:00,11682,10476.0,38.0,30126.0
Bermuda,North-America,61939.0,2024-06-30,2024-06-30T16:15:15+00:00,18860,18685.0,165.0,1029558.0
Gambia,Africa,2558482.0,2024-06-30,2024-06-30T16:15:15+00:00,12626,12189.0,372.0,155686.0
Grenada,North-America,113475.0,2024-06-30,2024-06-30T16:15:15+00:00,19693,19358.0,238.0,182981.0
Comoros,Africa,907419.0,2024-06-30,2024-06-30T16:15:15+00:00,9109,8939.0,161.0,
Guinea-Bissau,Africa,2063367.0,2024-06-30,2024-06-30T16:15:15+00:00,9614,8929.0,177.0,145231.0
Chad,Africa,17413580.0,2024-06-30,2024-06-30T16:15:15+00:00,7701,4874.0,194.0,191341.0
Vanuatu,Oceania,321832.0,2024-06-30,2024-06-30T16:15:15+00:00,12019,11976.0,14.0,24976.0
Sint-Maarten,North-America,43966.0,2024-06-30,2024-06-30T16:15:15+00:00,11051,10905.0,92.0,62056.0
Wallis-and-Futuna,Oceania,10982.0,2024-06-30,2024-06-30T16:15:15+00:00,3550,438.0,8.0,20508.0
St-Barth,North-America,9945.0,2024-06-30,2024-06-30T16:15:15+00:00,5507,,6.0,78646.0
Saint-Kitts-and-Nevis,North-America,53871.0,2024-06-30,2024-06-30T16:15:15+00:00,6607,6559.0,48.0,126958.0
Timor-Leste,Asia,1369429.0,2024-06-30,2024-06-30T16:15:15+00:00,23460,23102.0,138.0,278529.0
Kiribati,Oceania,123419.0,2024-06-30,2024-06-30T16:15:15+00:00,5085,2703.0,24.0,
Burkina-Faso,Africa,22102838.0,2024-06-30,2024-06-30T16:15:15+00:00,22114,21596.0,400.0,248995.0
Liechtenstein,Europe,38387.0,2024-06-30,2024-06-30T16:15:15+00:00,21574,,94.0,112457.0
Gibraltar,Europe,33704.0,2024-06-30,2024-06-30T16:15:15+00:00,20550,,113.0,534283.0
South-Sudan,Africa,11618511.0,2024-06-30,2024-06-30T16:15:15+00:00,18819,18115.0,147.0,410280.0
Monaco,Europe,39783.0,2024-06-30,2024-06-30T16:15:15+00:00,17181,,67.0,78646.0
Samoa,Oceania,202239.0,2024-06-30,2024-06-30T16:15:15+00:00,17006,1605.0,31.0,187397.0
Tonga,Oceania,107749.0,2024-06-30,2024-06-30T16:15:15+00:00,16950,15638.0,13.0,535009.0
Marshall-Islands,Oceania,60057.0,2024-06-30,2024-06-30T16:15:15+00:00,16138,16121.0,17.0,
Dominica,North-America,72344.0,2024-06-30,2024-06-30T16:15:15+00:00,16038,15964.0,74.0,229344.0
CAR,Africa,5016678.0,2024-06-30,2024-06-30T16:15:15+00:00,15440,15200.0,113.0,81294.0
Saint-Martin,North-America,39730.0,2024-06-30,2024-06-30T16:15:15+00:00,12324,,63.0,112382.0
Yemen,Asia,31154867.0,2024-06-30,2024-06-30T16:15:15+00:00,11945,9124.0,2159.0,329592.0
St-Vincent-Grenadines,North-America,111551.0,2024-06-30,2024-06-30T16:15:15+00:00,9674,9493.0,124.0,114197.0
Antigua-and-Barbuda,North-America,99509.0,2024-06-30,2024-06-30T16:15:15+00:00,9106,8954.0,146.0,18901.0
Sierra-Leone,Africa,8306436.0,2024-06-30,2024-06-30T16:15:15+00:00,7779,,126.0,259958.0
British-Virgin-Islands,North-America,30596.0,2024-06-30,2024-06-30T16:15:15+00:00,7392,,64.0,107339.0
Cook-Islands,Oceania,17571.0,2024-06-30,2024-06-30T16:15:15+00:00,7203,7150.0,2.0,19690.0
Sao-Tome-and-Principe,Africa,227679.0,2024-06-30,2024-06-30T16:15:15+00:00,6778,6685.0,80.0,29600.0
Turks-and-Caicos,North-America,39741.0,2024-06-30,2024-06-30T16:15:15+00:00,6752,6709.0,40.0,616788.0
Palau,Oceania,18233.0,2024-06-30,2024-06-30T16:15:15+00:00,6290,6276.0,10.0,71434.0
Anguilla,North-America,15230.0,2024-06-30,2024-06-30T16:15:15+00:00,3904,,12.0,51382.0
Cura&ccedil;ao,North-America,165529.0,2024-06-30,2024-06-30T16:15:14+00:00,45986,44720.0,295.0,496693.0
Isle-of-Man,Europe,85732.0,2024-06-30,2024-06-30T16:15:14+00:00,38008,,116.0,150753.0
Cayman-Islands,North-America,67277.0,2024-06-30,2024-06-30T16:15:14+00:00,31472,8553.0,37.0,222773.0
Congo,Africa,5797805.0,2024-06-30,2024-06-30T16:15:14+00:00,25375,24006.0,386.0,347815.0
Somalia,Africa,16841795.0,2024-06-30,2024-06-30T16:15:14+00:00,27334,13182.0,1361.0,400466.0
Mayotte,Africa,286259.0,2024-06-30,2024-06-30T16:15:14+00:00,42027,,188.0,176919.0
Bahamas,North-America,400516.0,2024-06-30,2024-06-30T16:15:14+00:00,38084,36366.0,844.0,257839.0
Aruba,North-America,107609.0,2024-06-30,2024-06-30T16:15:14+00:00,44224,42438.0,292.0,177885.0
Madagascar,Africa,29178077.0,2024-06-30,2024-06-30T16:15:14+00:00,68486,66862.0,1426.0,531329.0
Cabo-Verde,Africa,567678.0,2024-06-30,2024-06-30T16:15:14+00:00,64477,63755.0,417.0,401622.0
Sudan,Africa,45992020.0,2024-06-30,2024-06-30T16:15:14+00:00,63993,58947.0,5046.0,562941.0
Mauritania,Africa,4901981.0,2024-06-30,2024-06-30T16:15:14+00:00,63848,62471.0,997.0,1009957.0
Bhutan,Asia,787941.0,2024-06-30,2024-06-30T16:15:14+00:00,62697,61564.0,21.0,2303734.0
Syria,Asia,19364809.0,2024-06-30,2024-06-30T16:15:14+00:00,57743,54578.0,3165.0,146269.0
Burundi,Africa,12624840.0,2024-06-30,2024-06-30T16:15:14+00:00,54721,53569.0,38.0,345742.0
Seychelles,Africa,99426.0,2024-06-30,2024-06-30T16:15:14+00:00,51220,51048.0,172.0,
Gabon,Africa,2331533.0,2024-06-30,2024-06-30T16:15:14+00:00,49051,48674.0,307.0,1621909.0
Andorra,Europe,77463.0,2024-06-30,2024-06-30T16:15:14+00:00,48015,,165.0,249838.0
Papua-New-Guinea,Oceania,9292169.0,2024-06-30,2024-06-30T16:15:14+00:00,46864,46168.0,670.0,249149.0
Tanzania,Africa,63298550.0,2024-06-30,2024-06-30T16:15:14+00:00,43223,,846.0,
Mauritius,Africa,1274727.0,2024-06-30,2024-06-30T16:15:14+00:00,43025,41278.0,1051.0,358675.0
Togo,Africa,8680837.0,2024-06-30,2024-06-30T16:15:14+00:00,39572,39281.0,290.0,815204.0
Guinea,Africa,13865691.0,2024-06-30,2024-06-30T16:15:14+00:00,38572,37757.0,468.0,660107.0
Lesotho,Africa,2175699.0,2024-06-30,2024-06-30T16:15:14+00:00,36138,25980.0,723.0,431221.0
Haiti,North-America,11680283.0,2024-06-30,2024-06-30T16:15:14+00:00,34667,33734.0,860.0,132422.0
Faeroe-Islands,Europe,49233.0,2024-06-30,2024-06-30T16:15:14+00:00,34658,,28.0,778000.0
Mali,Africa,21473764.0,2024-06-30,2024-06-30T16:15:14+00:00,33164,32332.0,743.0,804909.0
Saint-Lucia,North-America,185113.0,2024-06-30,2024-06-30T16:15:14+00:00,30215,29805.0,410.0,210983.0
Benin,Africa,12784726.0,2024-06-30,2024-06-30T16:15:14+00:00,28036,27847.0,163.0,604310.0
Macao,Asia,667490.0,2024-06-30,2024-06-30T16:15:14+00:00,27673,3487.0,123.0,7850.0
Micronesia,Oceania,117489.0,2024-06-30,2024-06-30T16:15:14+00:00,26547,,65.0,82430.0
San-Marino,Europe,34085.0,2024-06-30,2024-06-30T16:15:14+00:00,26185,26011.0,128.0,196855.0
Solomon-Islands,Oceania,721159.0,2024-06-30,2024-06-30T16:15:14+00:00,25954,,199.0,
French-Guiana,South-America,314169.0,2024-06-30,2024-06-30T16:15:13+00:00,98041,11254.0,420.0,651257.0
Channel-Islands,Europe,176463.0,2024-06-30,2024-06-30T16:15:13+00:00,101717,101321.0,228.0,1252808.0
Kyrgyzstan,Asia,6728271.0,2024-06-30,2024-06-30T16:15:13+00:00,206897,196406.0,2991.0,1907195.0
Fiji,Oceania,909466.0,2024-06-30,2024-06-30T16:15:13+00:00,69117,67226.0,885.0,672883.0
Suriname,South-America,596831.0,2024-06-30,2024-06-30T16:15:13+00:00,82588,,1408.0,242207.0
Guadeloupe,North-America,399794.0,2024-06-30,2024-06-30T16:15:13+00:00,203235,,1021.0,938039.0
El-Salvador,North-America,6550389.0,2024-06-30,2024-06-30T16:15:13+00:00,201855,179410.0,4230.0,2610114.0
Trinidad-and-Tobago,North-America,1406585.0,2024-06-30,2024-06-30T16:15:13+00:00,191496,187078.0,4390.0,913289.0
Maldives,Asia,540985.0,2024-06-30,2024-06-30T16:15:13+00:00,186694,163687.0,316.0,2213831.0
Namibia,Africa,2633874.0,2024-06-30,2024-06-30T16:15:13+00:00,172389,167099.0,4106.0,1062663.0
Uganda,Africa,48432863.0,2024-06-30,2024-06-30T16:15:13+00:00,172149,100431.0,3632.0,3012408.0
Ghana,Africa,32395450.0,2024-06-30,2024-06-30T16:15:13+00:00,171889,170425.0,1462.0,2541625.0
Jamaica,North-America,2985094.0,2024-06-30,2024-06-30T16:15:13+00:00,156869,,3756.0,1183986.0
Cambodia,Asia,17168639.0,2024-06-30,2024-06-30T16:15:13+00:00,139103,136044.0,3056.0,3091420.0
Rwanda,Africa,13600464.0,2024-06-30,2024-06-30T16:15:13+00:00,133518,132039.0,1468.0,6021981.0
Cameroon,Africa,27911548.0,2024-06-30,2024-06-30T16:15:13+00:00,125379,123280.0,1974.0,1751774.0
Malta,Europe,444033.0,2024-06-30,2024-06-30T16:15:13+00:00,121420,120149.0,885.0,2170600.0
Barbados,North-America,288023.0,2024-06-30,2024-06-30T16:15:13+00:00,110578,108647.0,648.0,814159.0
Angola,Africa,35027343.0,2024-06-30,2024-06-30T16:15:13+00:00,107327,103419.0,1937.0,1499795.0
DRC,Africa,95240792.0,2024-06-30,2024-06-30T16:15:13+00:00,99338,84489.0,1468.0,846704.0
Malawi,Africa,20180839.0,2024-06-30,2024-06-30T16:15:13+00:00,89535,,2686.0,624784.0
Senegal,Africa,17653671.0,2024-06-30,2024-06-30T16:15:13+00:00,89053,87024.0,1971.0,1146543.0
Ivory-Coast,Africa,27742298.0,2024-06-30,2024-06-30T16:15:13+00:00,88384,87497.0,835.0,1690934.0
New-Caledonia,Oceania,290915.0,2024-06-30,2024-06-30T16:15:13+00:00,80064,,314.0,98964.0
French-Polynesia,Oceania,284164.0,2024-06-30,2024-06-30T16:15:13+00:00,79254,,650.0,
Eswatini,Africa,1184817.0,2024-06-30,2024-06-30T16:15:13+00:00,75191,73116.0,1427.0,1048704.0
Guyana,South-America,794045.0,2024-06-30,2024-06-30T16:15:13+00:00,74137,72013.0,1300.0,733218.0
Belize,North-America,412190.0,2024-06-30,2024-06-30T16:15:13+00:00,71409,,688.0,576016.0
Belarus,Europe,9432800.0,2024-06-30,2024-06-30T16:15:12+00:00,994037,985592.0,7118.0,13646641.0
Venezuela,South-America,29266991.0,2024-06-30,2024-06-30T16:15:12+00:00,552695,546537.0,5856.0,3359014.0
Egypt,Africa,106156692.0,2024-06-30,2024-06-30T16:15:12+00:00,516023,442182.0,24613.0,3693367.0
Uzbekistan,Asia,34382084.0,2024-06-30,2024-06-30T16:15:12+00:00,253662,241486.0,1637.0,1377915.0
Qatar,Asia,2979915.0,2024-06-30,2024-06-30T16:15:12+00:00,514524,513687.0,690.0,4065369.0
Ecuador,South-America,18113361.0,2024-06-30,2024-06-30T16:15:12+00:00,1070188,1034145.0,36043.0,3082403.0
UAE,Asia,10081785.0,2024-06-30,2024-06-30T16:15:12+00:00,1067030,,2349.0,200732262.0
Panama,North-America,4446964.0,2024-06-30,2024-06-30T16:15:12+00:00,1059893,1051102.0,8727.0,7882622.0
Uruguay,South-America,3496016.0,2024-06-30,2024-06-30T16:15:12+00:00,1041111,1030944.0,7664.0,6114822.0
Mongolia,Asia,3378078.0,2024-06-30,2024-06-30T16:15:12+00:00,1011496,1009212.0,2284.0,4030048.0
Nepal,Asia,30225582.0,2024-06-30,2024-06-30T16:15:12+00:00,1003450,991322.0,12031.0,6047766.0
Latvia,Europe,1848837.0,2024-06-30,2024-06-30T16:15:12+00:00,982505,971406.0,6715.0,7885792.0
Saudi-Arabia,Asia,35844909.0,2024-06-30,2024-06-30T16:15:12+00:00,841469,,9646.0,45481735.0
Paraguay,South-America,7305843.0,2024-06-30,2024-06-30T16:15:12+00:00,837602,,20155.0,2657506.0
Azerbaijan,Asia,10300205.0,2024-06-30,2024-06-30T16:15:12+00:00,835234,824089.0,10400.0,7748050.0
Bahrain,Asia,1783983.0,2024-06-30,2024-06-30T16:15:12+00:00,729549,727915.0,1574.0,10948549.0
Cyprus,Asia,1223387.0,2024-06-30,2024-06-30T16:15:12+00:00,681110,679745.0,1365.0,9640118.0
Dominican-Republic,North-America,11056370.0,2024-06-30,2024-06-30T16:15:12+00:00,675890,671316.0,4384.0,3740928.0
Sri-Lanka,Asia,21575842.0,2024-06-30,2024-06-30T16:15:12+00:00,672754,655852.0,16897.0,6486117.0
Kuwait,Asia,4380326.0,2024-06-30,2024-06-30T16:15:12+00:00,667158,,2570.0,8455743.0
Myanmar,Asia,55227143.0,2024-06-30,2024-06-30T16:15:12+00:00,641873,620159.0,19495.0,11711514.0
Moldova,Europe,4013171.0,2024-06-30,2024-06-30T16:15:12+00:00,635145,,12218.0,3216305.0
Estonia,Europe,1321910.0,2024-06-30,2024-06-30T16:15:12+00:00,628070,,3001.0,6968103.0
Palestine,Asia,5345541.0,2024-06-30,2024-06-30T16:15:12+00:00,621008,615445.0,5404.0,3078533.0
Libya,Africa,7040745.0,2024-06-30,2024-06-30T16:15:12+00:00,507274,500835.0,6437.0,2483848.0
Ethiopia,Africa,120812698.0,2024-06-30,2024-06-30T16:15:12+00:00,501157,488171.0,7574.0,5565340.0
R&eacute;union,Africa,908061.0,2024-06-30,2024-06-30T16:15:12+00:00,494595,,921.0,1603660.0
Honduras,North-America,10221247.0,2024-06-30,2024-06-30T16:15:12+00:00,474590,,11165.0,1660662.0
Armenia,Asia,2971966.0,2024-06-30,2024-06-30T16:15:12+00:00,451831,435162.0,8777.0,3242901.0
Bosnia-and-Herzegovina,Europe,3249317.0,2024-06-30,2024-06-30T16:15:12+00:00,403615,379084.0,16388.0,1884721.0
Oman,Asia,5323993.0,2024-06-30,2024-06-30T16:15:12+00:00,399449,,4628.0,25000000.0
Luxembourg,Europe,642371.0,2024-06-30,2024-06-30T16:15:12+00:00,391232,,1232.0,4587145.0
North-Macedonia,Europe,2081304.0,2024-06-30,2024-06-30T16:15:12+00:00,350567,337068.0,9976.0,2226216.0
Zambia,Africa,19470234.0,2024-06-30,2024-06-30T16:15:12+00:00,349304,341316.0,4069.0,4112961.0
Kenya,Africa,56215221.0,2024-06-30,2024-06-30T16:15:12+00:00,344130,337309.0,5689.0,3967062.0
Brunei,Asia,445431.0,2024-06-30,2024-06-30T16:15:12+00:00,343719,243601.0,225.0,717784.0
Albania,Europe,2866374.0,2024-06-30,2024-06-30T16:15:12+00:00,334863,330233.0,3605.0,1941032.0
Botswana,Africa,2441162.0,2024-06-30,2024-06-30T16:15:12+00:00,330638,327049.0,2801.0,2026898.0
Montenegro,Europe,627950.0,2024-06-30,2024-06-30T16:15:12+00:00,296542,291794.0,2846.0,2769281.0
Algeria,Africa,45350148.0,2024-06-30,2024-06-30T16:15:12+00:00,272010,183061.0,6881.0,230960.0
Nigeria,Africa,216746934.0,2024-06-30,2024-06-30T16:15:12+00:00,267188,259953.0,3155.0,5708974.0
Zimbabwe,Africa,15331428.0,2024-06-30,2024-06-30T16:15:12+00:00,266359,258888.0,5740.0,2525756.0
Afghanistan,Asia,40754388.0,2024-06-30,2024-06-30T16:15:12+00:00,234174,211080.0,7996.0,1390730.0
Mozambique,Africa,33089461.0,2024-06-30,2024-06-30T16:15:12+00:00,233731,228805.0,2250.0,1371127.0
Martinique,North-America,374087.0,2024-06-30,2024-06-30T16:15:12+00:00,230354,,1102.0,828928.0
Laos,Asia,7481023.0,2024-06-30,2024-06-30T16:15:12+00:00,218970,,758.0,1233207.0
Iceland,Europe,345393.0,2024-06-30,2024-06-30T16:15:12+00:00,209906,,229.0,1996384.0
DPRK,Asia,25990679.0,2024-06-30,2024-06-30T16:15:11+00:00,4772813,4772739.0,74.0,
Jordan,Asia,10300869.0,2024-06-30,2024-06-30T16:15:11+00:00,1746997,1731007.0,14122.0,17201885.0
South-Africa,Africa,60756135.0,2024-06-30,2024-06-30T16:15:11+00:00,4076463,3912506.0,102595.0,26795090.0
Kazakhstan,Asia,19205043.0,2024-06-30,2024-06-30T16:15:11+00:00,1411831,1383020.0,13848.0,11575012.0
Ukraine,Europe,43192122.0,2024-06-30,2024-06-30T16:15:11+00:00,5557995,5445577.0,112418.0,32603805.0
Poland,Europe,37739785.0,2024-06-30,2024-06-30T16:15:11+00:00,6661991,,120598.0,39323709.0
Colombia,South-America,51512762.0,2024-06-30,2024-06-30T16:15:11+00:00,6400173,6212152.0,143200.0,36951507.0
Greece,Europe,10316637.0,2024-06-30,2024-06-30T16:15:11+00:00,6101379,,37869.0,102228365.0
Austria,Europe,9066710.0,2024-06-30,2024-06-30T16:15:11+00:00,6081287,6054934.0,22542.0,211273524.0
Portugal,Europe,10140570.0,2024-06-30,2024-06-30T16:15:11+00:00,5643062,5614809.0,28126.0,46139518.0
Chile,South-America,19250195.0,2024-06-30,2024-06-30T16:15:11+00:00,5384853,5252450.0,64497.0,50382097.0
Malaysia,Asia,33181072.0,2024-06-30,2024-06-30T16:15:11+00:00,5278406,5233268.0,37348.0,68580916.0
Canada,North-America,38388419.0,2024-06-30,2024-06-30T16:15:11+00:00,4946090,4881312.0,59034.0,66572774.0
Belgium,Europe,11668278.0,2024-06-30,2024-06-30T16:15:11+00:00,4861695,4826798.0,34376.0,37454182.0
Israel,Asia,9326000.0,2024-06-30,2024-06-30T16:15:11+00:00,4841772,4798473.0,12707.0,41373364.0
Thailand,Asia,70078203.0,2024-06-30,2024-06-30T16:15:11+00:00,4770149,4692636.0,34586.0,17273454.0
Czechia,Europe,10736784.0,2024-06-30,2024-06-30T16:15:11+00:00,4759041,4715206.0,43517.0,57834241.0
Peru,South-America,33684208.0,2024-06-30,2024-06-30T16:15:11+00:00,4572667,4350506.0,222161.0,39010194.0
Switzerland,Europe,8773637.0,2024-06-30,2024-06-30T16:15:11+00:00,4453053,4438309.0,14452.0,23833472.0
Philippines,Asia,112508994.0,2024-06-30,2024-06-30T16:15:11+00:00,4140383,4067381.0,66864.0,36102746.0
Romania,Europe,19031335.0,2024-06-30,2024-06-30T16:15:11+00:00,3529735,3460149.0,68929.0,28758667.0
Denmark,Europe,5834950.0,2024-06-30,2024-06-30T16:15:11+00:00,3183756,3174942.0,8814.0,129333107.0
Singapore,Asia,5943546.0,2024-06-30,2024-06-30T16:15:11+00:00,3006155,3004131.0,2024.0,24756666.0
Hong-Kong,Asia,7604299.0,2024-06-30,2024-06-30T16:15:11+00:00,2937609,2916005.0,14924.0,76127725.0
Sweden,Europe,10218971.0,2024-06-30,2024-06-30T16:15:11+00:00,2754129,2726492.0,27407.0,19500873.0
New-Zealand,Oceania,4898203.0,2024-06-30,2024-06-30T16:15:11+00:00,2621111,2613791.0,5697.0,7768604.0
Serbia,Europe,8653016.0,2024-06-30,2024-06-30T16:15:11+00:00,2615054,2596608.0,18057.0,13463733.0
Iraq,Asia,42164965.0,2024-06-30,2024-06-30T16:15:11+00:00,2465545,2439497.0,25375.0,19544451.0
Hungary,Europe,9606259.0,2024-06-30,2024-06-30T16:15:11+00:00,2230232,2152155.0,49048.0,11394556.0
Bangladesh,Asia,167885689.0,2024-06-30,2024-06-30T16:15:11+00:00,2049377,,29493.0,15254399.0
Slovakia,Europe,5460193.0,2024-06-30,2024-06-30T16:15:11+00:00,1877605,1856381.0,21224.0,7448789.0
Georgia,Asia,3968738.0,2024-06-30,2024-06-30T16:15:11+00:00,1861665,,17132.0,16920079.0
Ireland,Europe,5020199.0,2024-06-30,2024-06-30T16:15:11+00:00,1734582,1724921.0,9491.0,13083449.0
Pakistan,Asia,229488994.0,2024-06-30,2024-06-30T16:15:11+00:00,1581936,1538689.0,30664.0,30589153.0
Finland,Europe,5554960.0,2024-06-30,2024-06-30T16:15:11+00:00,1516117,1503989.0,11958.0,12108977.0
Norway,Europe,5511370.0,2024-06-30,2024-06-30T16:15:11+00:00,1509732,1503094.0,6638.0,11002430.0
Lithuania,Europe,2661708.0,2024-06-30,2024-06-30T16:15:11+00:00,1397806,1387478.0,9897.0,10540357.0
Slovenia,Europe,2078034.0,2024-06-30,2024-06-30T16:15:11+00:00,1356546,1349424.0,7100.0,2847701.0
Bulgaria,Europe,6844597.0,2024-06-30,2024-06-30T16:15:11+00:00,1339851,1292944.0,38748.0,11671043.0
Croatia,Europe,4059286.0,2024-06-30,2024-06-30T16:15:11+00:00,1309728,1258432.0,18687.0,5660084.0
Guatemala,North-America,18584039.0,2024-06-30,2024-06-30T16:15:11+00:00,1291293,1269891.0,20289.0,7593848.0
Morocco,Africa,37772756.0,2024-06-30,2024-06-30T16:15:11+00:00,1278992,,16303.0,13001033.0
Lebanon,Asia,6684849.0,2024-06-30,2024-06-30T16:15:11+00:00,1243838,1087587.0,10952.0,4795578.0
Costa-Rica,North-America,5182354.0,2024-06-30,2024-06-30T16:15:11+00:00,1238883,,9428.0,4659757.0
Bolivia,South-America,11992656.0,2024-06-30,2024-06-30T16:15:11+00:00,1212131,1177145.0,22407.0,2710261.0
Tunisia,Africa,12046656.0,2024-06-30,2024-06-30T16:15:11+00:00,1153361,,29423.0,5013383.0
Cuba,North-America,11305652.0,2024-06-30,2024-06-30T16:15:11+00:00,1115251,1106660.0,8530.0,14402674.0
Spain,Europe,46719142.0,2024-06-30,2024-06-30T16:15:10+00:00,13914811,13762417.0,121760.0,471036328.0
North-America,North-America,,2024-06-30,2024-06-30T16:15:10+00:00,131889132,127665129.0,1695941.0,
Asia,Asia,,2024-06-30,2024-06-30T16:15:10+00:00,221500265,205673091.0,1553662.0,
Europe,Europe,,2024-06-30,2024-06-30T16:15:10+00:00,253406198,248754104.0,2101824.0,
South-America,South-America,,2024-06-30,2024-06-30T16:15:10+00:00,70200879,66683585.0,1367332.0,
Oceania,Oceania,,2024-06-30,2024-06-30T16:15:10+00:00,14895771,14752388.0,33015.0,
Africa,Africa,,2024-06-30,2024-06-30T16:15:10+00:00,12860924,12090808.0,258892.0,
All,All,,2024-06-30,2024-06-30T16:15:10+00:00,704753890,675619811.0,7010681.0,
USA,North-America,334805269.0,2024-06-30,2024-06-30T16:15:10+00:00,111820082,109814428.0,1219487.0,1186851502.0
India,Asia,1406631776.0,2024-06-30,2024-06-30T16:15:10+00:00,45035393,,533570.0,935879495.0
France,Europe,65584518.0,2024-06-30,2024-06-30T16:15:10+00:00,40138560,39970918.0,167642.0,271490188.0
Germany,Europe,83883596.0,2024-06-30,2024-06-30T16:15:10+00:00,38828995,38240600.0,183027.0,122332384.0
Brazil,South-America,215353593.0,2024-06-30,2024-06-30T16:15:10+00:00,38743918,36249161.0,711380.0,63776166.0
S-Korea,Asia,51329899.0,2024-06-30,2024-06-30T16:15:10+00:00,34571873,34535939.0,35934.0,15804065.0
Japan,Asia,125584838.0,2024-06-30,2024-06-30T16:15:10+00:00,33803572,,74694.0,100414883.0
Italy,Europe,60262770.0,2024-06-30,2024-06-30T16:15:10+00:00,26723249,26361218.0,196487.0,281126449.0
UK,Europe,68497907.0,2024-06-30,2024-06-30T16:15:10+00:00,24910387,24678275.0,232112.0,522526476.0
Russia,Europe,145805947.0,2024-06-30,2024-06-30T16:15:10+00:00,24124215,23545818.0,402756.0,273400000.0
Turkey,Asia,85561976.0,2024-06-30,2024-06-30T16:15:10+00:00,17232066,,102174.0,162743369.0
Australia,Oceania,26068792.0,2024-06-30,2024-06-30T16:15:10+00:00,11853144,11820014.0,24414.0,81916639.0
Vietnam,Asia,98953541.0,2024-06-30,2024-06-30T16:15:10+00:00,11625195,10640971.0,43206.0,85826548.0
Taiwan,Asia,23888595.0,2024-06-30,2024-06-30T16:15:10+00:00,10241523,10222518.0,19005.0,30742304.0
Argentina,South-America,46010234.0,2024-06-30,2024-06-30T16:15:10+00:00,10128845,9997258.0,130841.0,35716069.0
Netherlands,Europe,17211447.0,2024-06-30,2024-06-30T16:15:10+00:00,8635786,8612599.0,22992.0,25984435.0
Mexico,North-America,131562772.0,2024-06-30,2024-06-30T16:15:10+00:00,7702809,6899865.0,334958.0,20013810.0
Iran,Asia,86022837.0,2024-06-30,2024-06-30T16:15:10+00:00,7627186,,146811.0,57320267.0
Indonesia,Asia,279134505.0,2024-06-30,2024-06-30T16:15:10+00:00,6829221,6647104.0,162063.0,114158919.0
